link,name,description,
product/entity-nail-couture/professional-acrylic-kit,Acrylic Professional Kit With Success Liquid,"Contents: 1 each:<br>
• Shiner 600/3000 Grit File<br>
• Perfecter 100/180 Grit File<br>
• Shaper 150/150 Grit File<br>
• Refiner 180/180 Grit File<br>
• Buffer 220/280 Grit File<br>
• Nu Bond Non-Acid Primer (15 mL | 0.5 Fl. Oz.)<br>
• UV Top Coat (15 mL | 0.5 Fl. Oz.)<br>
• Cuticle Oil (4 mL | 0.125 Fl. Oz.)<br>
• Natural Nail Prep (60 mL | 2 Fl. Oz.)<br>
• FUSE Nail Adhesive (15mL | 0.5 Fl. Oz.)<br>
• Success Nail Sculpting Liquid (120 mL | 4 Fl. Oz.)<br>
• Nail Sculpting Powder (23 g | 0.8 Oz.) in Clear, White and Pink<br>
• Sculpting Forms - 100 ct<br>
• #8 Pink Studio Brush<br>
• Brush Wipes - 20 ct<br>
• Assorted Nail Tips - 50 ct",
product/entity-nail-couture/entity-sculpting-liquid,Signature Sculpting Liquid,"Designed for extreme control and championship performance.<br>
&bull; Fast set time<br>
&bull; Subtle color tone for color consistency",
product/entity-nail-couture/entity-sculpting-liquid,Signature Sculpting Liquid,"Designed for extreme control and championship performance.<br>
&bull; Fast set time<br>
&bull; Subtle color tone for color consistency",
product/entity-nail-couture/entity-sculpting-liquid,Signature Sculpting Liquid,"Designed for extreme control and championship performance.<br>
&bull; Fast set time<br>
&bull; Subtle color tone for color consistency",
product/entity-nail-couture/success-sculpting-liquid,Success Sculpting Liquid,"Designed for exceptional workability and endurance. <br>
&bull; Medium set time<br>
&bull; Vibrant color tone for color stability",
product/entity-nail-couture/nail-sculpting-powder-clear,Entity<sup>&reg;</sup> Sculpting Powder Clear,Completely transparent for nails with the appearance of glass.,
product/entity-nail-couture/nail-sculpting-powder-clear,Entity<sup>&reg;</sup> Sculpting Powder Clear,Completely transparent for nails with the appearance of glass.,
product/entity-nail-couture/nail-sculpting-powder-white,Entity<sup>&reg;</sup> Sculpting Powder White,A radiant opaque white that allows for paper-thin application.,
product/entity-nail-couture/nail-sculpting-powder-white,Entity<sup>&reg;</sup> Sculpting Powder White,A radiant opaque white that allows for paper-thin application.,
product/entity-nail-couture/nail-sculpting-powder-pink,Entity<sup>&reg;</sup> Sculpting Powder Pink,Most universal shade of pink designed to showcase the color of the natural nail.,
product/entity-nail-couture/nail-sculpting-powder-pink,Entity<sup>&reg;</sup> Sculpting Powder Pink,Most universal shade of pink designed to showcase the color of the natural nail.,
product/entity-nail-couture/nail-sculpting-powder-pinker-pink,Entity<sup>&reg;</sup> Sculpting Powder Pinker Pink,Translucent powder in a medium pink for darker skin tones.,
product/entity-nail-couture/nail-sculpting-powder-pinker-pink,Entity<sup>&reg;</sup> Sculpting Powder Pinker Pink,Translucent powder in a medium pink for darker skin tones.,
product/entity-nail-couture/nail-sculpting-powder-pinkest-pink,Entity<sup>&reg;</sup> Sculpting Powder Pinkest Pink,Translucent powder in a vibrant pink for dramatic contrast.,
product/entity-nail-couture/nail-sculpting-powder-pinkest-pink,Entity<sup>&reg;</sup> Sculpting Powder Pinkest Pink,Translucent powder in a vibrant pink for dramatic contrast.,
product/entity-nail-couture/natural-nail-prep,Natural Nail Prep,"Dehydrates and cleanses the surface of the natural nail plate preparing it for product application by removing dust, contaminants and oils. Specifically designed to control the growth of bacteria, improve adhesion, and reduce the potential for lifting.",
product/entity-nail-couture/nail-product-remover,Nail Product Remover,Unique formula safely breaks down and removes soak off gel and acrylic products from the natural nail while protecting the surrounding skin from over drying.,
